star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
3443582,K08087.01,FALSE POSITIVE,1.085965104,10.716,10579.0,29.66,6297.0,371873.86,675.9,15896.0,4.152,2.404,291.42249,38.535229,15.799
2712825,K08086.01,FALSE POSITIVE,18.384953,5.92,92.9,1.36,872.0,136.82,6.0,6335.0,4.214,1.401,291.38812,37.990219,11.871
2284957,K08085.01,CANDIDATE,419.2615,21.53,287.8,1.7,256.0,1.02,10.1,5979.0,4.379,0.975,286.61917,37.62624,14.547
2010152,K08084.01,FALSE POSITIVE,317.74527,17.54,206.6,2.1,336.0,3.03,13.6,6050.0,4.08,1.333,290.37881,37.481419,13.385
12644020,K08083.01,FALSE POSITIVE,234.524445,3.9,876.0,2.33,226.0,0.62,6.8,4987.0,4.613,0.727,288.6127,51.770439,15.8
12602999,K08082.01,CANDIDATE,8.2766028,4.834,73.1,2.48,1623.0,1639.28,10.0,6787.0,3.762,2.753,290.87411,51.685181,12.43
12459808,K08081.01,FALSE POSITIVE,0.502446098,1.803,11.4,0.43,2705.0,12572.01,10.1,6306.0,4.311,1.197,291.09753,51.310925,12.54
12453855,K08080.01,FALSE POSITIVE,0.559643825,0.677,1812.6,27.21,1860.0,2854.44,130.7,5240.0,4.521,0.774,287.71039,51.317638,15.36
12419303,K08079.01,FALSE POSITIVE,0.608074963,0.879,117.5,1.15,2362.0,7350.47,10.8,6309.0,4.441,1.044,296.6366,51.22134,15.326
12307496,K08078.01,CANDIDATE,0.805941833,1.4432,3180.4,29.85,1498.0,1189.65,55.4,5022.0,4.597,0.672,291.55447,51.043201,14.169
12266099,K08077.01,CANDIDATE,77.177672,2.312,318.6,1.29,327.0,2.7,8.0,4840.0,4.551,0.749,295.57001,50.9049,14.427
12156930,K08076.01,CANDIDATE,71.10684,6.933,128.4,1.42,523.0,17.68,10.5,6339.0,4.315,1.224,290.03943,50.768501,13.74
12021943,K08075.01,FALSE POSITIVE,6.0962602,10.4,30.4,0.62,1048.0,284.96,10.0,6108.0,4.466,1.03,296.14963,50.46661,13.723
12008916,K08074.01,FALSE POSITIVE,47.4314857,4.511,172.8,8.83,1029.0,265.1,10.3,5166.0,3.12,6.891,289.09659,50.427181,11.765
12004656,K08073.01,FALSE POSITIVE,2.52123022,4.739,145.9,9.68,726.0,65.58,8.9,3932.0,4.745,0.52,286.409,50.41811,15.521
11967872,K08072.01,FALSE POSITIVE,134.370692,8.73,432.6,1.95,351.0,3.58,8.1,5910.0,4.505,0.94,294.07483,50.39724,15.541
11966668,K08071.01,FALSE POSITIVE,313.19875,8.603,721.0,1.95,216.0,0.51,9.6,5254.0,4.618,0.73,293.5318,50.311291,15.693
11922290,K08070.01,FALSE POSITIVE,114.661733,2.784,281.8,1.38,316.0,2.37,7.3,5412.0,4.562,0.712,295.80801,50.227188,14.077
11918793,K08069.01,FALSE POSITIVE,38.35312,2.9,3090.0,5.57,557.0,22.73,8.6,5979.0,4.449,1.004,294.21954,50.260738,15.457
11904835,K08068.01,CANDIDATE,9.4640413,6.999,209.9,1.28,839.0,117.23,9.4,5968.0,4.534,0.881,286.12177,50.279449,15.807
11819135,K08067.01,FALSE POSITIVE,1.901655058,4.6545,87321.0,89.89,2192.0,5467.3,190.6,6929.0,4.102,1.704,294.45728,50.03027,15.064
11804952,K08066.01,FALSE POSITIVE,36.3192885,2.601,400.2,25.43,1410.0,933.26,8.6,5008.0,2.706,12.39,286.56653,50.08947,13.56
11774383,K08065.01,FALSE POSITIVE,0.520227316,1.7939,68633.0,50.41,2264.0,6193.15,122.3,5780.0,4.438,1.0,297.04431,49.9702,19.174
11724094,K08064.01,FALSE POSITIVE,1.47623061,2.032,39.1,0.71,1802.0,2484.49,9.7,6325.0,4.409,1.112,296.97861,49.817329,14.063
11714107,K08063.01,CANDIDATE,405.35457,10.778,545.6,2.11,232.0,0.69,10.2,5650.0,4.487,0.906,292.58734,49.834469,15.328
11709006,K08061.01,FALSE POSITIVE,0.719741,2.628,32.2,0.57,2074.0,4398.76,6.5,6014.0,4.486,0.993,289.7356,49.859787,8.777
11661803,K08060.02,FALSE POSITIVE,363.448167,6.013,2124.0,37.03,285.0,1.56,19.4,6289.0,4.411,1.093,291.88229,49.748161,15.279
11661803,K08060.01,FALSE POSITIVE,372.086704,3.686,2494.0,38.4,283.0,1.51,18.0,6289.0,4.411,1.093,291.88229,49.748161,15.279
11612241,K08059.01,FALSE POSITIVE,4.5647147,13.395,99.3,1.04,1131.0,387.76,18.0,5953.0,4.433,0.99,292.65387,49.644138,14.095
11601597,K08058.01,FALSE POSITIVE,0.590281548,2.72,21.6,0.68,2643.0,11597.35,20.6,6124.0,4.196,1.315,286.47849,49.64114,12.174
11565903,K08057.01,FALSE POSITIVE,117.140785,3.401,337.1,15.87,862.0,130.52,8.5,5282.0,2.932,8.243,295.14056,49.55706,13.015
11560397,K08056.01,FALSE POSITIVE,0.527673051,1.631,28.3,1.43,4056.0,63629.23,13.5,6762.0,3.738,2.637,292.54663,49.543373,13.699
11453349,K08055.01,CANDIDATE,4.40660737,2.107,70.7,0.86,1152.0,415.56,8.1,6063.0,4.47,1.001,290.81824,49.30558,14.689
11443757,K08054.01,CANDIDATE,43.9088053,6.265,297.8,7.33,885.0,144.75,13.7,5216.0,3.402,4.303,285.08685,49.36282,13.589
11392362,K08053.01,CANDIDATE,9.9105786,5.945,99.5,1.19,922.0,170.47,9.2,6214.0,4.442,1.076,285.74564,49.238869,14.863
11358305,K08052.01,CANDIDATE,7.8687123,3.739,89.1,1.73,1323.0,722.44,9.1,6738.0,4.109,1.692,295.59012,49.198601,13.41
11357185,K08051.01,FALSE POSITIVE,185.243906,3.276,383.9,2.38,354.0,3.7,7.9,6218.0,4.417,1.131,295.08365,49.170158,14.652
11350634,K08050.01,CANDIDATE,278.38935,10.43,262.8,6.81,464.0,10.93,11.2,4951.0,3.349,4.342,291.96802,49.115311,12.795
11348086,K08049.01,FALSE POSITIVE,391.420272,3.84,236.7,1.61,256.0,1.01,10.3,6032.0,4.46,0.949,290.57971,49.18998,12.879
11296205,K08048.01,CANDIDATE,379.67276,9.662,253.9,1.33,247.0,0.88,7.9,6156.0,4.563,0.824,291.45468,49.043289,14.44
11294822,K08047.01,CANDIDATE,302.34971,4.978,622.3,1.98,208.0,0.44,8.0,4829.0,4.564,0.794,290.6962,49.066078,15.222
11182706,K08046.01,CANDIDATE,384.37706,15.139,1204.9,50.93,676.0,49.27,22.6,4859.0,2.481,12.023,287.59253,48.886459,12.656
11152950,K08045.01,FALSE POSITIVE,4.17363793,2.738,49.7,2.52,2197.0,5511.8,10.5,6619.0,3.595,3.41,298.23053,48.794109,12.754
11145726,K08044.01,FALSE POSITIVE,0.619618218,1.2517,50.3,3.34,3818.0,50197.86,4.4,5180.0,3.314,4.717,295.60391,48.718151,13.705
