planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
7212.01,377253700,PC,75.6979471,6.261,6920.0,6.79508,390.0,3.85902,5422.0,4.49,0.91,286.125676,59.85935,12.5661,368.476,CANDIDATE
7213.01,336264393,PC,36.9870862,3.771,5950.0,8.83849,558.0,16.1862,6110.1,4.38,1.14,281.454859,40.830761,12.5392,543.434,CANDIDATE
7214.01,251803342,PC,8.9093753,4.595,9278.0,13.9451,1148.0,289.201,6375.0,4.11,1.65,296.93748,-3.802666,12.8891,884.34,CANDIDATE
7215.01,23912656,PC,2.7705702,2.502,10283.0,,,,,,,313.272302,-7.474875,12.368,637.06,CANDIDATE
7216.01,69436501,PC,3.1243759,3.93,6498.0,12.9639,1579.0,1034.01,5477.0,3.95,1.71,291.820807,12.282756,12.9812,635.773,CANDIDATE
7217.01,151760597,PC,3.9859545,3.729,6488.0,13.1539,1357.0,563.839,5566.0,3.96,1.71,305.033226,-6.073279,12.3942,647.965,CANDIDATE
7218.01,279331929,PC,4.9030173,3.098,4872.0,11.3707,1143.0,284.216,5663.0,4.01,1.64,299.229685,23.001848,12.0952,552.389,CANDIDATE
7219.01,242674266,PC,2.9069573,1.568,12330.0,13.8539,1144.0,285.031,5744.0,4.28,1.22,293.952459,-9.613936,11.9146,329.719,CANDIDATE
722.01,38509907,PC,15.3004892,3.1952319,1265.2897827,2.3968761,518.5040418,17.0816408,4082.0,4.63162,0.660762,62.379568,-62.850656,11.9755,57.6851,CANDIDATE
7220.01,344416349,FP,7.8365317,2.271,4532.0,16.9425,986.0,157.252,6167.0,3.82,2.21,304.097356,11.829675,11.86,747.966,FALSE POSITIVE
7221.01,110828766,PC,1.6233128,2.169,22087.0,,,,,,,297.606918,2.067149,13.3537,938.775,CANDIDATE
7222.01,466890210,PC,5.1869453,4.736,2193.0,10.1814,1576.0,1024.95,6018.0,3.66,2.59,311.10033,3.037627,11.7068,816.499,CANDIDATE
